tag,time,alt,range,V,Vz,LD,pDOH,eff_p,mass,m_fl,m_bat,m_NOx,m_CO,oem,m_py,eff,P_req,P_tot
descent,46.935,5180,3895.527,83.34,-5.199,16.0,0,0.8,16902.20407120256,0.3411023720030731,0.0,-0.0011728126274523553,0.03324214390527743,11550,5000,0.08290841167886362,1616.6861894894391,19499.664228902257
descent,46.936,4936,3895.528,83.34,-5.199,16.0,0,0.8,16901.854319885253,0.34975131730473136,0.0,-0.0011991685223317141,0.03354435296883795,11550,5000,0.08074087966081978,1616.6535639005015,20022.739047330404
descent,46.936,4692,3895.527,83.34,-5.199,16.0,0,0.8,16901.49589708819,0.3584227970639166,0.0,-0.0012253462020341435,0.033833588997772945,11550,5000,0.07869028825995207,1616.6201110613765,20544.086783884926
descent,46.935,4448,3895.528,83.34,-5.199,16.0,0,0.8,16901.128643050535,0.36725403765216824,0.0,-0.0012515767219799623,0.034120881089316234,11550,5000,0.0767199778071432,1616.585828816751,21071.249953701565
descent,46.936,4204,3895.527,83.34,-5.199,16.0,0,0.8,16900.752346767582,0.3762962829546925,0.0,-0.0012779572522940922,0.03441024449447944,11550,5000,0.07481693487633218,1616.550701886299,21606.748586511312
descent,46.935,3960,3895.528,83.34,-5.199,16.0,0,0.8,16900.36682985721,0.3855169103745981,0.0,-0.001304343088277836,0.03469830157862362,11550,5000,0.07297944114314665,1616.514710087562,22150.275266109864
descent,46.936,3716,3895.528,83.34,-5.199,16.0,0,0.8,16899.971723277762,0.39510657944694194,0.0,-0.0013310557823311055,0.03499912768544592,11550,5000,0.07117713276289268,1616.4778363587102,22710.634351394398
descent,46.936,3472,3895.527,83.34,-5.199,16.0,0,0.8,16899.566640987643,0.40508229011989766,0.0,-0.0013580068163976627,0.035312391165505545,11550,5000,0.06940226026414617,1616.4400454022689,23290.884752889473
descent,46.935,3228,3895.528,83.34,-5.199,16.0,0,0.8,16899.15130956345,0.4153314241917181,0.0,-0.0013849537040896145,0.03562903617573213,11550,5000,0.06767689274731292,1616.4013002939755,23884.094477108716
descent,46.936,2984,3895.527,83.34,-5.199,16.0,0,0.8,16898.72546111279,0.4258484506620582,0.0,-0.001411880224404368,0.03594845408891062,11550,5000,0.06600954509721363,1616.3615748814773,24486.785547469357
descent,46.936,2740,3895.528,83.34,-5.199,16.0,0,0.8,16898.28872412858,0.43673698421260976,0.0,-0.0014388093489874556,0.03627650571960292,11550,5000,0.06438061678786942,1616.3208435418783,25105.70609889567
descent,46.935,2496,3895.527,83.34,-5.199,16.0,0,0.8,16897.840586974424,0.4481371541559175,0.0,-0.0014658214968400897,0.03662124953949545,11550,5000,0.06276910221918462,1616.2790707411477,25749.596753785518
descent,46.936,2252,3895.528,83.34,-5.199,16.0,0,0.8,16897.38052328696,0.46006368746366766,0.0,-0.0014928665136827778,0.036982445564374244,11550,5000,0.06118148981085558,1616.2362075427081,26417.07831141986
descent,46.936,2008,3895.527,83.34,-5.199,16.0,0,0.8,16896.908136234666,0.47238705229241557,0.0,-0.0015196130686740993,0.03734988149019483,11550,5000,0.059640534367364946,1616.1922036011238,27098.888712933756
descent,46.935,1764,3895.528,83.34,-5.199,16.0,0,0.8,16896.423109360843,0.48502687382459114,0.0,-0.001545871364096667,0.03771758495896009,11550,5000,0.058167177434150195,1616.147020960576,27784.518559288543
descent,46.936,1520,3895.527,83.34,-5.199,16.0,0,0.8,16895.925067432705,0.49804192813678216,0.0,-0.0015716687200327778,0.03808886958741911,11550,5000,0.05677143041929672,1616.1006293526152,28466.794255782912
descent,46.936,1276,3895.528,83.34,-5.199,16.0,0,0.8,16895.41352644767,0.5115409850335196,0.0,-0.0015969047415774315,0.03846855658252643,11550,5000,0.05545650119556073,1616.0529928874457,29140.911490045644
descent,46.935,1032,3895.527,83.34,-5.199,16.0,0,0.8,16894.88794414417,0.525582303499416,0.0,-0.001621461625890291,0.038858525386531964,11550,5000,0.05424749038680736,1616.004065270885,29789.47143449583
descent,46.936,788,3895.528,83.34,-5.199,16.0,0,0.8,16894.347658432474,0.540285711697228,0.0,-0.0016453074270219696,0.039264334001625545,11550,5000,0.05319568921916856,1615.9537946375785,30377.53281059633
descent,46.936,544,3895.527,83.34,-5.199,16.0,0,0.8,16893.79157324351,0.5560851889645905,0.0,-0.0016683111050131687,0.03970643123543405,11550,5000,0.05236422456063369,1615.9021176600363,30858.8951945416
descent,46.935,300,3895.528,83.34,-5.199,16.0,0,0.8,16893.217450244207,0.5741229993030548,0.0,-0.001690370756789787,0.04023985358355558,11550,5000,0.051824312610545965,1615.8489295018371,31179.360576275558
final,10.714,270,0.0,53.502,-2.8,7.5,0,0.8,16892.503361032566,0.7140892116397616,0.0,0.00527331645515158,0.003195145640954407,11550,5000,0.24969724573774937,718174.8664667313,2876182.5719976583
final,10.714,240,0.0,53.502,-2.8,7.5,0,0.8,16891.78851081101,0.7148502215578137,0.0,0.0052847460136219715,0.0031926710372063827,11550,5000,0.24942160657879664,718144.5086662871,2879239.367097143
final,10.714,210,0.0,53.502,-2.8,7.5,0,0.8,16891.07289872552,0.7156120854874296,0.0,0.005296200048874998,0.003190199141806909,11550,5000,0.24914539556754076,718114.1185133203,2882309.411648938
final,10.714,180,0.0,53.502,-2.8,7.5,0,0.8,16890.3565241507,0.7163745748207219,0.0,0.005307675675757156,0.003187729740393882,11550,5000,0.24886850347292686,718083.695971525,2885394.0372154876
final,10.714,150,0.0,53.502,-2.8,7.5,0,0.8,16889.639386707564,0.7171374431345856,0.0,0.00531916976723992,0.003185262607699531,11550,5000,0.24859081081524628,718053.2410143135,2888494.706057231
final,10.714,120,0.0,53.502,-2.8,7.5,0,0.8,16888.921486279527,0.7179004280370236,0.0,0.0053306789767574875,0.0031827975095940824,11550,5000,0.24831218885035347,718022.7536255743,2891613.0011575636
final,10.714,90,0.0,53.502,-2.8,7.5,0,0.8,16888.202823026157,0.7186632533711581,0.0,0.005342199765311454,0.0031803342053737292,11550,5000,0.24803250077394468,717992.2338003507,2894750.613568681
final,10.714,60,0.0,53.502,-2.8,7.5,0,0.8,16887.4833973944,0.7194256317548359,0.0,0.005353728433097913,0.003177872450260343,11550,5000,0.24775160308441949,717961.6815454271,2897909.327758364
final,10.714,30,0.0,53.502,-2.8,7.5,0,0.8,16886.763210126977,0.7201872674226104,0.0,0.005365261155266203,0.003175411998072254,11550,5000,0.24746934703915646,717931.0968798038,2901091.0056921407
final,10.714,0,0.0,53.502,-2.8,7.5,0,0.8,16886.042262267652,0.7209478593245039,0.0,0.005376794021254574,0.0031729526040166576,11550,5000,0.24718558013999056,717900.4798350557,2904297.57038611
climboutToAlternate,3.639,30,0.0,63.222,8.245,10.5,0,0.8,16885.44516934139,0.5970929262617505,0.0,0.009968023053142528,0.0002105907490871457,11550,5000,0.30471774668583984,2363216.160723621,7755426.739749645
climboutToAlternate,3.638,60,0.0,63.222,8.245,10.5,0,0.8,16884.848255342007,0.5969139993824123,0.0,0.009964638985366083,0.0002103316487910603,11550,5000,0.3048189884223388,2363132.597054238,7752576.731801314
climboutToAlternate,3.639,90,0.0,63.222,8.246,10.5,0,0.8,16884.25117054316,0.5970847988477508,0.0,0.009967575008451914,0.00021015823119695896,11550,5000,0.30492097206508717,2363214.6987872105,7750253.0664987145
climboutToAlternate,3.638,120,0.0,63.222,8.246,10.5,0,0.8,16883.654266982736,0.5969035604262908,0.0,0.009964098384507241,0.00020989956303354054,11550,5000,0.30501980128577705,2363131.130397864,7747467.936299046
climboutToAlternate,3.638,150,0.0,63.222,8.247,10.5,0,0.8,16883.05735896701,0.5969080157282699,0.0,0.009964204365372637,0.00020966849223086426,11550,5000,0.30511936392054373,2363213.2160231275,7745208.909908887
climboutToAlternate,3.638,180,0.0,63.222,8.234,10.5,0,0.8,16882.46076658779,0.5965923792224617,0.0,0.009951806683273078,0.00020986357729140117,11550,5000,0.30519064355482506,2360976.570215809,7736071.272419852
climboutToAlternate,3.643,210,0.0,63.222,8.215,10.5,0,0.8,16881.863809404316,0.5969571834710572,0.0,0.009947652780082134,0.00021053348715456487,11550,5000,0.3052491425064487,2357746.4191144146,7724006.690910213
climboutToAlternate,3.652,240,0.0,63.222,8.196,10.5,0,0.8,16881.265836112183,0.5979732921345431,0.0,0.009954277343168665,0.00021143988996350632,11550,5000,0.3053064683055678,2354516.439531416,7711976.92796631
climboutToAlternate,3.661,270,0.0,63.222,8.177,10.5,0,0.8,16880.666851413378,0.5989846988043158,0.0,0.009960736770602266,0.000212352120144859,11550,5000,0.30536262118824575,2351286.540954659,7699981.522968296
climboutToAlternate,3.669,300,0.0,63.222,8.158,10.5,0,0.8,16880.067023532072,0.5998278813048342,0.0,0.009964314233429679,0.0002132121289237074,11550,5000,0.305417602538737,2348056.724606357,7688020.287922161
climbToAlternate,15.084,435,1241.818,83.34,8.864,16.0,0,0.8,16877.61611601051,2.4509075215595155,0.0,0.040650682056769305,0.0008717382379317153,11550,5000,0.30768092218199816,2330355.329045082,7573935.077023202
climbToAlternate,15.23,570,1254.105,83.34,8.778,16.0,0,0.8,16875.15076826257,2.4653477479415473,0.0,0.040684232901213015,0.0008883843345431431,11550,5000,0.3078961656895615,2315778.0026360843,7521295.360887943
climbToAlternate,15.378,705,1266.631,83.34,8.693,16.0,0,0.8,16872.67097386131,2.479794401261825,0.0,0.04071267051788917,0.0009055557166297683,11550,5000,0.3080907087028992,2301368.3877603305,7469775.370537405
climbToAlternate,15.53,840,1279.402,83.34,8.607,16.0,0,0.8,16870.176617943143,2.494355918166615,0.0,0.04073322554040557,0.0009236634173017874,11550,5000,0.30826074085764366,2286795.4053098904,7418380.293733038
climbToAlternate,15.685,975,1292.428,83.34,8.522,16.0,0,0.8,16867.667555938966,2.5090620041773417,0.0,0.040750768487337025,0.0009423907631626064,11550,5000,0.3084106275396929,2272390.142224832,7368066.9189403085
climbToAlternate,15.842,1110,1305.715,83.34,8.436,16.0,0,0.8,16865.14402245296,2.523533486003791,0.0,0.040754539370639414,0.0009619790960183663,11550,5000,0.30853648427375857,2257821.5985310418,7317843.151825505
climbToAlternate,16.003,1245,1319.271,83.34,8.35,16.0,0,0.8,16862.605837856343,2.5381845966169747,0.0,0.0407535550757757,0.0009824219015436863,11550,5000,0.3086405761904696,2243255.363556599,7268180.325623264
